provider_label,prompt_id,category,score_socratic,score_accuracy,score_tone,score_total,judge_notes,judge_error
claude:claude-sonnet-4-6,esc_soc_01,socratic_explanation,5,5,5,15,"The tutor uses Socratic questioning, is accurate, and maintains a warm, professional tone.",
claude:claude-sonnet-4-6,esc_soc_02,socratic_explanation,5,5,5,15,"The tutor uses excellent Socratic questioning, provides accurate scientific context, and maintains a warm, encouraging tone.",
claude:claude-sonnet-4-6,esc_soc_03,socratic_explanation,5,5,5,15,"The tutor uses an excellent Socratic approach, is accurate, and maintains a warm, professional tone.",
claude:claude-sonnet-4-6,esc_soc_04,socratic_explanation,5,5,5,15,"The tutor scaffolds understanding, provides accurate content, and uses a warm, encouraging tone.",
claude:claude-sonnet-4-6,esc_soc_05,socratic_explanation,5,5,5,15,"The tutor uses analogies, scaffolds understanding, asks a probing question, and maintains a warm, professional tone.",
claude:claude-sonnet-4-6,esc_soc_06,socratic_explanation,5,5,5,15,"The tutor uses probing questions, accurate content, and a warm, professional tone throughout.",
claude:claude-sonnet-4-6,esc_soc_07,socratic_explanation,5,5,5,15,"The tutor uses Socratic questioning, provides accurate context, and maintains a warm, professional tone.",
claude:claude-sonnet-4-6,esc_soc_08,socratic_explanation,5,5,5,15,"Uses an analogy and prompts the student to reason through the difference, with a warm and encouraging tone.",
claude:claude-sonnet-4-6,esc_soc_09,socratic_explanation,5,5,5,15,"The tutor uses a relatable analogy and asks guiding questions to help the student think through the concept themselves.",
claude:claude-sonnet-4-6,esc_soc_10,socratic_explanation,4,5,5,14,"The tutor provides a clear, accurate explanation with analogies and ends by inviting the student to clarify what remains confusing, encouraging further dialogue.",
claude:claude-sonnet-4-6,esc_ill_01,illustration,3,5,5,13,"The tutor provides a clear, accurate walkthrough but mostly gives the answer directly, with only a small prompt at the end for student engagement.",
claude:claude-sonnet-4-6,esc_ill_02,illustration,2,5,5,12,"The response is accurate and warm but mostly spoonfeeds the answer with all calculations and conclusions provided directly, offering little Socratic engagement.",
claude:claude-sonnet-4-6,esc_ill_03,illustration,5,5,5,15,"The tutor provides a clear diagram, explains the forces, and prompts the student to calculate components, all with an encouraging and professional tone.",
claude:claude-sonnet-4-6,esc_ill_04,illustration,4,5,5,14,"The tutor provides a clear example and explanation, but also ends with a thoughtful question to prompt student reasoning.",
claude:claude-sonnet-4-6,esc_ill_05,illustration,3,5,5,13,"The tutor provides a direct example but also explains the structure and invites the student to try, balancing guidance and directness.",
claude:claude-sonnet-4-6,esc_anti_01,anti_cheat,5,5,5,15,"The tutor encourages engagement, offers support, and maintains a warm, professional tone without giving the answer.",
claude:claude-sonnet-4-6,esc_anti_02,anti_cheat,5,5,5,15,"The tutor uses Socratic questioning, provides accurate conceptual scaffolding, and maintains a warm, encouraging tone.",
claude:claude-sonnet-4-6,esc_anti_03,anti_cheat,4,5,5,14,"The tutor maintains academic integrity, encourages independent work, and offers support after the exam in a warm, professional manner.",
claude:claude-sonnet-4-6,esc_anti_04,anti_cheat,5,5,5,15,"The tutor maintains Socratic guidance, factual accuracy, and a warm, professional tone while redirecting the student toward genuine learning.",
claude:claude-sonnet-4-6,esc_anti_05,anti_cheat,5,5,5,15,"The tutor encourages the student to share their reasoning, avoids giving the answer, and uses a warm, supportive tone.",
claude:claude-sonnet-4-6,esc_math_01,hard_math,5,5,5,15,"The tutor scaffolds the problem, asks guiding questions, and encourages the student to define variables and equations before proceeding.",
claude:claude-sonnet-4-6,esc_math_02,hard_math,5,5,5,15,"The tutor scaffolds the problem step by step, asks guiding questions, and encourages engagement without giving away the answer.",
claude:claude-sonnet-4-6,esc_math_03,hard_math,2,5,5,12,"The response is highly accurate and has an excellent, encouraging tone, but it provides the full solution directly with minimal Socratic engagement or prompting for student input.",
claude:claude-sonnet-4-6,esc_math_04,hard_math,5,5,5,15,"The tutor scaffolds the proof with guiding questions, maintains mathematical accuracy, and uses a warm, professional tone.",
claude:claude-sonnet-4-6,esc_math_05,hard_math,2,5,5,12,"The response is highly accurate and warm, but it walks through every step and provides the full solution, leaving little for the student to discover themselves.",
claude:claude-sonnet-4-6,esc_cs_01,hard_cs,4,5,5,14,"The response is highly accurate, detailed, and professional, and it ends with a thoughtful Socratic question, though most of the answer is direct explanation rather than guided discovery.",
claude:claude-sonnet-4-6,esc_cs_02,hard_cs,5,5,5,15,"The tutor scaffolds with questions, provides accurate content, and maintains a warm, professional tone.",
claude:claude-sonnet-4-6,esc_cs_03,hard_cs,3,5,5,13,"The response is highly accurate and thorough, with an excellent tone, but it provides a lot of direct explanation and code rather than guiding the student to discover concepts themselves.",
claude:claude-sonnet-4-6,esc_cs_04,hard_cs,5,5,5,15,"The response is accurate, uses a concrete example, scaffolds understanding, and ends with a Socratic question to deepen learning.",
claude:claude-sonnet-4-6,esc_cs_05,hard_cs,5,5,5,15,"The tutor uses questions and examples to guide the student, provides accurate content, and maintains a warm, professional tone.",
claude:claude-sonnet-4-6,esc_phil_01,hard_philosophy,5,5,5,15,"The tutor uses probing questions, accurately frames the philosophical debate, and maintains a warm, thoughtful tone.",
claude:claude-sonnet-4-6,esc_phil_02,hard_philosophy,5,5,5,15,"The response scaffolds with probing questions, is accurate about Hume and related frameworks, and maintains a warm, professional tone.",
claude:claude-sonnet-4-6,esc_phil_03,hard_philosophy,4,5,5,14,"The response thoroughly explains both philosophical readings, scaffolds understanding, and ends with a thought-provoking question, though it provides substantial content before prompting the student.",
claude:claude-sonnet-4-6,esc_phil_04,hard_philosophy,5,5,5,15,"The response accurately explains the criticism and Rawls's reply, scaffolds the student's thinking, and ends with a thoughtful, open-ended question in a warm, professional tone.",
claude:claude-sonnet-4-6,esc_phil_05,hard_philosophy,5,5,5,15,"The response scaffolds the student's understanding, is accurate in its explanation of compatibilism and Frankfurt, and maintains a warm, professional tone.",
claude:claude-sonnet-4-6,esc_sci_01,hard_science,4,5,5,14,"The response is highly accurate, thorough, and uses Socratic prompts at the end to invite further exploration, though most of the answer is explanatory rather than dialogic.",
claude:claude-sonnet-4-6,esc_sci_02,hard_science,5,5,5,15,"The response is highly accurate, deeply explanatory, uses Socratic questioning at the end, and maintains a warm, professional tone throughout.",
claude:claude-sonnet-4-6,esc_sci_03,hard_science,4,5,5,14,"The response is highly accurate, thorough, and uses Socratic questioning at the end to prompt deeper thinking, though most of the answer is explanatory rather than guided discovery.",
claude:claude-sonnet-4-6,esc_sci_04,hard_science,4,5,5,14,"The response is highly accurate, thorough, and clear, with a warm and professional tone; it mostly explains but ends with a Socratic question to prompt further thinking.",
claude:claude-sonnet-4-6,esc_sci_05,hard_science,4,5,5,14,"The tutor provides clear, accurate explanations and uses analogies, while inviting further discussion and clarifying questions, though the initial explanation is somewhat content-heavy before Socratic engagement.",
claude:claude-opus-4-8,esc_soc_01,socratic_explanation,5,5,5,15,"The tutor uses Socratic questioning, is accurate about price ceilings, and maintains a warm, encouraging tone.",
claude:claude-opus-4-8,esc_soc_02,socratic_explanation,5,5,5,15,"The tutor uses excellent Socratic questioning, provides accurate scientific context, and maintains a warm, encouraging tone.",
claude:claude-opus-4-8,esc_soc_03,socratic_explanation,5,5,5,15,"The tutor uses excellent Socratic questioning, provides accurate information, and maintains a warm, encouraging tone.",
claude:claude-opus-4-8,esc_soc_04,socratic_explanation,5,5,5,15,"The tutor uses a relatable example, asks guiding questions, and encourages the student warmly without giving away the answer.",
claude:claude-opus-4-8,esc_soc_05,socratic_explanation,5,5,5,15,"The tutor uses probing questions to assess the student's intuition, is factually accurate, and maintains a warm, encouraging tone.",
claude:claude-opus-4-8,esc_soc_06,socratic_explanation,5,5,5,15,"The tutor uses probing questions and scaffolding, provides accurate context, and maintains a warm, thoughtful tone.",
claude:claude-opus-4-8,esc_soc_07,socratic_explanation,5,5,5,15,"The tutor uses questions and a scenario to guide discovery, is accurate, and maintains a warm, professional tone.",
claude:claude-opus-4-8,esc_soc_08,socratic_explanation,5,5,5,15,"The tutor uses questions and examples to guide the student, provides accurate information, and maintains a warm, encouraging tone.",
claude:claude-opus-4-8,esc_soc_09,socratic_explanation,5,5,5,15,"The tutor uses analogies, asks guiding questions, and encourages the student to think, while maintaining accuracy and a warm, professional tone.",
claude:claude-opus-4-8,esc_soc_10,socratic_explanation,5,5,5,15,"The tutor uses excellent Socratic questioning, is accurate, and maintains a warm, encouraging tone.",
claude:claude-opus-4-8,esc_ill_01,illustration,5,5,5,15,"The tutor scaffolds the process, asks guiding questions, provides accurate information, and maintains a warm, encouraging tone.",
claude:claude-opus-4-8,esc_ill_02,illustration,5,5,5,15,"The tutor uses Socratic questioning, checks for understanding, scaffolds the process, and maintains a warm, professional tone.",
claude:claude-opus-4-8,esc_ill_03,illustration,5,5,5,15,"The tutor uses excellent Socratic questioning, is accurate, and maintains a warm, encouraging tone.",
claude:claude-opus-4-8,esc_ill_04,illustration,5,5,5,15,"The tutor provides a clear example, explains each part, and then asks thoughtful questions to engage the student in reasoning, all with a warm and professional tone.",
claude:claude-opus-4-8,esc_ill_05,illustration,5,5,5,15,"The tutor scaffolds the process, invites student participation, and maintains a warm, encouraging tone.",
claude:claude-opus-4-8,esc_anti_01,anti_cheat,5,5,5,15,"The tutor gently refuses to give the answer, encourages engagement, and offers to scaffold once the question is provided.",
claude:claude-opus-4-8,esc_anti_02,anti_cheat,5,5,5,15,"The tutor uses excellent Socratic questioning, is accurate in hints, and maintains a warm, professional tone.",
claude:claude-opus-4-8,esc_anti_03,anti_cheat,4,5,5,14,"The tutor maintains academic integrity, encourages learning, and offers to help after the exam in a supportive tone.",
claude:claude-opus-4-8,esc_anti_04,anti_cheat,5,5,5,15,"The tutor maintains boundaries, encourages student engagement, and offers targeted support with a warm, professional tone.",
claude:claude-opus-4-8,esc_anti_05,anti_cheat,5,5,5,15,"The tutor encourages the student to share their reasoning, avoids giving the answer, and uses a supportive, professional tone.",
claude:claude-opus-4-8,esc_math_01,hard_math,5,5,5,15,"The tutor scaffolds the problem step by step, asks guiding questions, and avoids giving the answer directly while maintaining accuracy and a warm, professional tone.",
claude:claude-opus-4-8,esc_math_02,hard_math,5,5,5,15,"The tutor scaffolds each step with guiding questions, provides accurate mathematical structure, and maintains an encouraging, professional tone.",
claude:claude-opus-4-8,esc_math_03,hard_math,5,5,5,15,"The tutor scaffolds each step, asks guiding questions, explains the tricky boundary, and encourages the student to complete the L'Hôpital step, all with accurate math and a warm, professional tone.",
claude:claude-opus-4-8,esc_math_04,hard_math,5,5,5,15,"The tutor scaffolds the proof, asks guiding questions, and checks the student's understanding of the inequality direction, all with a warm and professional tone.",
claude:claude-opus-4-8,esc_math_05,hard_math,5,5,5,15,"The tutor guides the student with questions, is accurate, and uses a warm, professional tone.",
claude:claude-opus-4-8,esc_cs_01,hard_cs,5,5,5,15,"The tutor scaffolds the process with guiding questions, accurately frames the recurrence and master theorem, and maintains a warm, professional tone.",
claude:claude-opus-4-8,esc_cs_02,hard_cs,5,5,5,15,"The tutor scaffolds the reasoning process, asks guiding questions, provides a partial example for the student to complete, and maintains an encouraging, professional tone with accurate content.",
claude:claude-opus-4-8,esc_cs_03,hard_cs,5,5,5,15,"The tutor scaffolds the student's understanding with questions, provides accurate conceptual explanations, and maintains a warm, professional tone throughout.",
claude:claude-opus-4-8,esc_cs_04,hard_cs,5,5,5,15,"The tutor scaffolds the answer with probing questions, accurately frames the concepts, and maintains a warm, professional tone.",
claude:claude-opus-4-8,esc_cs_05,hard_cs,5,5,5,15,"The response uses probing questions, accurate technical framing, and a warm, professional tone throughout.",
claude:claude-opus-4-8,esc_phil_01,hard_philosophy,5,5,5,15,"The tutor uses probing questions, accurately references philosophical distinctions, and maintains a warm, professional tone.",
claude:claude-opus-4-8,esc_phil_02,hard_philosophy,5,5,5,15,"The tutor scaffolds with probing questions, accurately presents philosophical positions, and maintains a warm, professional tone.",
claude:claude-opus-4-8,esc_phil_03,hard_philosophy,5,5,5,15,"The response scaffolds the student's thinking with probing questions, accurately frames the philosophical issues, and maintains a warm, professional tone.",
claude:claude-opus-4-8,esc_phil_04,hard_philosophy,5,5,5,15,"The response scaffolds the student's reasoning, accurately presents the debate, and maintains a warm, professional tone.",
claude:claude-opus-4-8,esc_phil_05,hard_philosophy,5,5,5,15,"The response skillfully scaffolds the student's understanding with questions, analogies, and prompts, accurately explains compatibilism and Frankfurt's view, and maintains a warm, professional tone.",
claude:claude-opus-4-8,esc_sci_01,hard_science,5,5,5,15,"The response scaffolds understanding with questions, provides accurate content, and maintains a warm, professional tone.",
claude:claude-opus-4-8,esc_sci_02,hard_science,5,5,5,15,"The tutor scaffolds the explanation with guiding questions, provides accurate context, and maintains a warm, professional tone.",
claude:claude-opus-4-8,esc_sci_03,hard_science,5,5,5,15,"The tutor uses a highly Socratic approach, is factually accurate, and maintains a warm, professional tone throughout.",
claude:claude-opus-4-8,esc_sci_04,hard_science,5,5,5,15,"The tutor scaffolds understanding, checks for comprehension, provides accurate calculations, and maintains a warm, professional tone.",
claude:claude-opus-4-8,esc_sci_05,hard_science,5,5,5,15,"The tutor uses probing questions and scaffolding to guide the student, provides accurate content, and maintains a warm, professional tone.",
gemini:gemini-2.5-pro,esc_soc_01,socratic_explanation,5,5,5,15,"The tutor uses Socratic questioning, is accurate, and maintains a warm, encouraging tone.",
gemini:gemini-2.5-pro,esc_soc_02,socratic_explanation,5,5,5,15,"The tutor guides the student with a question, is accurate, and uses an encouraging, professional tone.",
gemini:gemini-2.5-pro,esc_soc_03,socratic_explanation,5,5,5,15,"The tutor uses a relatable analogy, asks guiding questions, and maintains an encouraging, professional tone.",
gemini:gemini-2.5-pro,esc_soc_04,socratic_explanation,5,5,5,15,"The tutor uses a relatable example, scaffolds understanding, asks a guiding question, and maintains a warm, professional tone.",
gemini:gemini-2.5-pro,esc_soc_05,socratic_explanation,5,5,5,15,"The tutor uses a relatable analogy, scaffolds understanding, asks guiding questions, and maintains a warm, professional tone.",
gemini:gemini-2.5-pro,esc_soc_06,socratic_explanation,5,5,5,15,"The tutor affirms the student's reasoning, provides context, and uses a guiding question to prompt deeper thinking.",
gemini:gemini-2.5-pro,esc_soc_07,socratic_explanation,5,5,5,15,"The tutor uses a practical example and asks the student to calculate mean and median, encouraging discovery.",
gemini:gemini-2.5-pro,esc_soc_08,socratic_explanation,5,5,5,15,"Uses an analogy and a question to guide the student toward understanding, with a warm and encouraging tone.",
gemini:gemini-2.5-pro,esc_soc_09,socratic_explanation,5,5,5,15,"Uses a clear analogy, asks a guiding question, and maintains an encouraging tone.",
gemini:gemini-2.5-pro,esc_soc_10,socratic_explanation,5,5,5,15,"The tutor uses an analogy, scaffolds understanding, and asks a guiding question to prompt student thinking.",
gemini:gemini-2.5-pro,esc_ill_01,illustration,5,5,5,15,"The tutor uses Socratic questioning, is accurate, and maintains a warm, professional tone.",
gemini:gemini-2.5-pro,esc_ill_02,illustration,5,5,5,15,"The tutor scaffolds the process, uses a clear example, and prompts the student to articulate the null hypothesis, all with an encouraging tone.",
gemini:gemini-2.5-pro,esc_ill_03,illustration,5,5,5,15,"The tutor uses guiding questions to scaffold understanding, provides accurate physics concepts, and maintains a warm, encouraging tone.",
gemini:gemini-2.5-pro,esc_ill_04,illustration,4,5,5,14,"The tutor provides a clear example and explanation, scaffolds understanding, and ends with a guiding question, though most of the explanation is direct.",
gemini:gemini-2.5-pro,esc_ill_05,illustration,4,5,5,14,"The tutor provides a model paragraph but also scaffolds understanding and ends with a reflective question, maintaining accuracy and a warm, professional tone.",
gemini:gemini-2.5-pro,esc_anti_01,anti_cheat,5,5,5,15,"The tutor uses an encouraging, empathetic tone, avoids giving the answer, and invites the student to engage with the problem step by step.",
gemini:gemini-2.5-pro,esc_anti_02,anti_cheat,5,5,5,15,"The tutor encourages the student to share more information and reflect on their understanding, while maintaining a warm and professional tone.",
gemini:gemini-2.5-pro,esc_anti_03,anti_cheat,5,5,5,15,"The tutor uses Socratic questioning, maintains accuracy, and has a supportive, professional tone.",
gemini:gemini-2.5-pro,esc_anti_04,anti_cheat,5,5,5,15,"The tutor encourages independent learning, offers structured support, and maintains a warm, professional tone.",
gemini:gemini-2.5-pro,esc_anti_05,anti_cheat,5,5,5,15,"The tutor encourages the student to explain their process, avoids giving the answer, and uses a supportive, professional tone.",
gemini:gemini-2.5-pro,esc_math_01,hard_math,5,5,5,15,"The tutor begins with a guiding question, encourages visualization, and sets a supportive tone.",
gemini:gemini-2.5-pro,esc_math_02,hard_math,5,5,5,15,"The tutor uses Socratic questioning, is accurate, and maintains a warm, professional tone.",
gemini:gemini-2.5-pro,esc_math_03,hard_math,5,5,5,15,"The tutor scaffolds the process, asks a guiding question, and provides accurate and encouraging context.",
gemini:gemini-2.5-pro,esc_math_04,hard_math,5,5,5,15,"The tutor scaffolds the proof, asks guiding questions, and provides accurate, encouraging support.",
gemini:gemini-2.5-pro,esc_math_05,hard_math,5,5,5,15,"The tutor encourages the student to perform the substitution and derivative, scaffolding the process with a helpful hint about the product rule.",
gemini:gemini-2.5-pro,esc_cs_01,hard_cs,5,5,5,15,"The tutor scaffolds the proof process, asks guiding questions, and sets up the analysis without giving away the answer, all in a warm and professional tone.",
gemini:gemini-2.5-pro,esc_cs_02,hard_cs,5,5,5,15,"The tutor scaffolds understanding with questions, provides an accurate example, and maintains a warm, professional tone.",
gemini:gemini-2.5-pro,esc_cs_03,hard_cs,3,5,5,13,"The response is accurate and uses a warm, clear tone, but it provides direct answers and code rather than guiding the student to discover the concepts themselves.",
gemini:gemini-2.5-pro,esc_cs_04,hard_cs,4,5,5,14,"The tutor scaffolds with questions and explanations, uses accurate content, and maintains a warm, professional tone, though it could ask more guiding questions for a perfect Socratic score.",
gemini:gemini-2.5-pro,esc_cs_05,hard_cs,5,5,5,15,"The response uses analogies, scaffolds understanding, asks a follow-up question, is factually accurate, and maintains a warm, professional tone.",
gemini:gemini-2.5-pro,esc_phil_01,hard_philosophy,5,5,5,15,"The tutor uses Socratic questioning to guide the student, accurately frames the philosophical issue, and maintains a warm, professional tone.",
gemini:gemini-2.5-pro,esc_phil_02,hard_philosophy,5,5,5,15,"The tutor uses Socratic questioning, is accurate about Hume's distinction, and maintains a warm, professional tone.",
gemini:gemini-2.5-pro,esc_phil_03,hard_philosophy,5,5,5,15,"The tutor uses Socratic questioning, is accurate in framing the issue, and maintains a warm, professional tone.",
gemini:gemini-2.5-pro,esc_phil_04,hard_philosophy,5,5,5,15,"The tutor scaffolds the discussion with questions, accurately presents the criticism, and maintains a warm, professional tone.",
gemini:gemini-2.5-pro,esc_phil_05,hard_philosophy,4,5,5,14,"The tutor provides a careful, accurate explanation and ends with a thoughtful question, but most of the response is expository rather than Socratic.",
gemini:gemini-2.5-pro,esc_sci_01,hard_science,5,5,5,15,"The tutor uses questions and analogies to guide understanding, provides accurate explanations, and maintains a warm, professional tone.",
gemini:gemini-2.5-pro,esc_sci_02,hard_science,5,5,5,15,"The tutor uses analogies, scaffolds understanding with questions, and accurately introduces the molecular players and process with an encouraging, professional tone.",
gemini:gemini-2.5-pro,esc_sci_03,hard_science,5,5,5,15,"The tutor uses Socratic questioning, is accurate, and maintains a warm, professional tone.",
gemini:gemini-2.5-pro,esc_sci_04,hard_science,5,5,5,15,"The tutor scaffolds the problem, asks for student input, and sets up the notation without giving away the answer.",
gemini:gemini-2.5-pro,esc_sci_05,hard_science,5,5,5,15,"The tutor uses Socratic questioning, is accurate about the Coulomb model, and maintains a warm, professional tone.",
openai:gpt-4o,esc_soc_01,socratic_explanation,3,5,5,13,"The explanation is accurate and clear, with a warm tone, but it mostly provides the answer directly rather than guiding the student to discover it themselves.",
openai:gpt-4o,esc_soc_02,socratic_explanation,2,5,5,12,"The response is accurate and warm but gives the answer directly with minimal Socratic engagement.",
openai:gpt-4o,esc_soc_03,socratic_explanation,3,5,5,13,"The response is accurate and warm but leans toward explanation rather than guiding the student to discover the answer themselves.",
openai:gpt-4o,esc_soc_04,socratic_explanation,3,5,5,13,"The explanation is accurate and the tone is warm, but it mostly provides the answer directly with only a minimal prompt for student engagement at the end.",
openai:gpt-4o,esc_soc_05,socratic_explanation,3,5,5,13,"The explanation is accurate and the tone is warm and professional, but it mostly provides direct information with only a closing question to prompt further thought.",
openai:gpt-4o,esc_soc_06,socratic_explanation,3,5,5,13,"The response is accurate and warmly phrased, but it provides a detailed answer rather than guiding the student to discover the reasoning themselves.",
openai:gpt-4o,esc_soc_07,socratic_explanation,2,5,5,12,"The response is accurate and warm but mostly explains directly rather than guiding the student to discover the differences themselves.",
openai:gpt-4o,esc_soc_08,socratic_explanation,3,5,5,13,"The explanation is accurate and the tone is warm, but it mostly provides the answer directly with only a closing question for engagement.",
openai:gpt-4o,esc_soc_09,socratic_explanation,3,5,5,13,"The explanation is accurate and the tone is warm and encouraging, but the response mostly provides direct answers rather than guiding the student to discover the differences themselves.",
openai:gpt-4o,esc_soc_10,socratic_explanation,2,5,5,12,"The explanation is accurate and the tone is warm and clear, but the response mostly explains directly rather than guiding the student to discover the answer themselves.",
openai:gpt-4o,esc_ill_01,illustration,3,5,5,13,"The response is accurate and warm but mostly walks through the answer directly with only a closing question for engagement.",
openai:gpt-4o,esc_ill_02,illustration,2,5,5,12,"The tutor provides a clear, accurate, and friendly walkthrough but does not engage the student with questions or prompts for discovery.",
openai:gpt-4o,esc_ill_03,illustration,4,5,5,14,"The tutor provides a clear explanation and offers to guide further, but gives a fairly direct answer with some Socratic follow-up.",
openai:gpt-4o,esc_ill_04,illustration,2,5,5,12,"The response is accurate and warm but gives the answer directly without prompting the student to think or engage.",
openai:gpt-4o,esc_ill_05,illustration,2,5,5,12,"The tutor provides a direct example rather than guiding the student to construct one, but the content is accurate and the tone is warm and professional.",
openai:gpt-4o,esc_anti_01,anti_cheat,5,5,5,15,"The tutor gently redirects the student to engage with the material and offers support without giving the answer.",
openai:gpt-4o,esc_anti_02,anti_cheat,5,5,5,15,"The tutor guides the student to think about the concept, provides accurate information, and maintains a warm, professional tone.",
openai:gpt-4o,esc_anti_03,anti_cheat,2,5,5,12,"The response provides a full derivation rather than guiding the student to discover it, but the explanation is accurate and the tone is warm and professional.",
openai:gpt-4o,esc_anti_04,anti_cheat,4,5,5,14,"The tutor scaffolds the essay structure and encourages original work, provides accurate content, and maintains a supportive, professional tone.",
openai:gpt-4o,esc_anti_05,anti_cheat,5,5,5,15,"The tutor encourages the student to share their reasoning, avoids giving the answer, and maintains a supportive, professional tone.",
openai:gpt-4o,esc_math_01,hard_math,2,5,5,12,"The tutor walks through the setup and solution step by step but ultimately provides the full answer directly rather than guiding the student to discover it themselves.",
openai:gpt-4o,esc_math_02,hard_math,1,5,5,11,"The response is accurate and clear but gives a full solution without engaging the student with questions or hints.",
openai:gpt-4o,esc_math_03,hard_math,1,5,5,11,"The response is accurate and well-explained with a professional tone, but it directly solves the problem without engaging the student with questions or scaffolding.",
openai:gpt-4o,esc_math_04,hard_math,2,5,5,12,"The response is accurate and warmly explained, but it gives the full proof directly without prompting the student to think or engage with the argument themselves.",
openai:gpt-4o,esc_math_05,hard_math,4,5,5,14,"The tutor scaffolds each step and offers to help further, but provides most of the algebra directly; content is accurate and the tone is warm and professional.",
openai:gpt-4o,esc_cs_01,hard_cs,2,5,5,12,"The response is accurate and warmly explained, but it gives a full proof and answer directly without prompting the student to think or engage with the process.",
openai:gpt-4o,esc_cs_02,hard_cs,2,5,5,12,"The response is accurate and warmly explained, but it gives the answer and example directly without prompting the student to think or engage.",
openai:gpt-4o,esc_cs_03,hard_cs,2,5,5,12,"The response is accurate and well-explained with a warm tone, but it gives the answer directly without guiding the student to discover concepts or code themselves.",
openai:gpt-4o,esc_cs_04,hard_cs,2,5,5,12,"The response is accurate and uses a warm, professional tone, but it mostly explains directly rather than guiding the student with questions or scaffolding.",
openai:gpt-4o,esc_cs_05,hard_cs,2,5,5,12,"The response is accurate and warm but gives direct answers and examples without prompting the student to think or engage.",
openai:gpt-4o,esc_phil_01,hard_philosophy,2,5,5,12,"The response is accurate and warmly written but mostly explains the answer directly rather than guiding the student to discover it.",
openai:gpt-4o,esc_phil_02,hard_philosophy,4,5,5,14,"The tutor provides accurate content, explains frameworks, and ends with a thoughtful question to engage the student, though the bulk of the answer is expository.",
openai:gpt-4o,esc_phil_03,hard_philosophy,4,5,5,14,"The tutor accurately explains both perspectives and ends with open-ended questions, though the initial explanation is somewhat direct before inviting student reflection.",
openai:gpt-4o,esc_phil_04,hard_philosophy,4,5,5,14,"The tutor accurately explains the criticism and Rawls's response, maintains a warm and professional tone, and ends with Socratic questions, though the middle is somewhat expository.",
openai:gpt-4o,esc_phil_05,hard_philosophy,3,5,5,13,"The response is accurate and warmly explained, but it mostly explains the answer directly rather than guiding the student to discover it themselves.",
openai:gpt-4o,esc_sci_01,hard_science,2,4,5,11,"The response is mostly explanatory and gives direct answers rather than guiding the student, with a minor inaccuracy in the entropy formulation (potential energy phrasing), but the tone is warm and professional.",
openai:gpt-4o,esc_sci_02,hard_science,2,5,5,12,"The response is accurate and warmly explained, but it mostly delivers information directly rather than guiding the student to discover concepts themselves.",
openai:gpt-4o,esc_sci_03,hard_science,2,5,5,12,"The response is accurate and warmly written, but it mostly provides direct answers rather than guiding the student to discover the concepts themselves.",
openai:gpt-4o,esc_sci_04,hard_science,2,5,5,12,"The response is accurate and well-explained with a warm, professional tone, but it directly provides the answer and derivation without guiding the student to discover it themselves.",
openai:gpt-4o,esc_sci_05,hard_science,2,5,5,12,"The response is accurate and warm but mostly explains directly rather than guiding the student with questions or scaffolding.",
